c Grafo gerado automaticamente
e 342 679 89
e 487 713 39
e 217 1108 11
e 977 758 11
e 1262 76 80
e 95 230 45
e 1073 443 55
e 1278 1016 88
e 838 956 21
e 696 836 7
e 1397 1273 97
e 657 476 38
e 1106 238 99
e 419 1125 20
e 1278 225 91
e 321 752 46
e 1423 1069 15
e 397 1049 2
e 1229 670 2
e 132 714 58
e 138 625 48
e 1300 83 30
e 721 1168 11
e 654 816 96
e 19 398 36
e 772 545 5
e 1232 191 96
e 766 729 78
e 1179 383 29
e 808 1384 13
e 387 413 59
e 1300 341 46
e 1233 351 55
e 116 162 21
e 464 821 39
e 826 172 18
e 945 1278 65
e 353 724 52
e 540 801 14
e 1482 1284 60
e 1224 8 33
e 927 1012 47
e 1434 1364 29
e 1343 1420 13
e 1090 553 37
e 271 431 42
e 452 1390 75
e 145 53 78
e 711 873 18
e 594 561 91
e 940 277 93
e 1026 685 88
e 884 1356 62
e 173 745 66
e 773 1307 32
e 894 40 79
e 535 255 76
e 1281 86 94
e 999 394 22
e 227 415 75
e 1479 885 75
e 897 20 31
e 231 1320 50
e 805 490 31
e 412 1149 88
e 867 771 74
e 948 1281 75
e 142 1350 99
e 752 1308 99
e 1463 1332 92
e 1268 972 21
e 195 958 28
e 537 772 34
e 787 461 86
e 772 495 84
e 307 704 54
e 180 1058 45
e 251 678 96
e 761 997 17
e 505 1418 22
e 1005 834 66
e 314 1217 96
e 445 324 74
e 1079 829 94
e 1321 556 52
e 1275 401 51
e 3 1335 48
e 430 278 35
e 1307 980 26
e 1013 27 86
e 1157 1032 98
e 876 554 59
e 949 956 48
e 68 1154 60
e 1487 381 46
e 1001 299 81
e 1128 178 20
e 1085 320 27
e 1347 295 64
e 941 1001 99
e 768 458 54
e 1115 593 36
e 909 48 90
e 35 1113 19
e 189 1498 97
e 42 1425 13
e 643 608 43
e 1194 347 90
e 427 52 32
e 529 1491 87
e 98 891 36
e 1379 55 84
e 1389 1471 32
e 986 612 44
e 23 1210 3
e 300 161 50
e 210 559 64
e 435 513 49
e 863 1374 41
e 1036 509 37
e 723 469 79
e 595 769 18
e 477 730 83
e 389 822 41
e 22 1473 2
e 1075 725 29
e 601 255 43
e 282 792 36
e 822 870 80
e 1197 1114 53
e 542 471 43
e 1178 649 22
e 1427 1031 11
e 950 1210 8
e 682 113 55
e 398 330 13
e 344 454 41
e 802 100 32
e 975 1121 71
e 351 785 56
e 1218 1006 1
e 533 1477 38
e 250 384 46
e 1325 610 53
e 1345 1421 92
e 595 1401 42
e 1372 1210 93
e 460 937 68
e 199 1346 27
e 93 1046 55
e 239 201 62
e 506 1267 7
e 952 869 97
e 741 1115 64
e 996 491 62
e 860 616 80
e 112 81 55
e 960 424 37
e 840 32 94
e 462 153 38
e 1482 1100 85
e 85 683 26
e 611 1326 49
e 787 153 94
e 520 1441 37
e 1486 1340 69
e 1435 284 66
e 736 1079 1
e 678 234 10
e 991 891 67
e 136 482 28
e 1176 144 78
e 271 1156 99
e 1174 1136 58
e 1282 1401 62
e 359 1110 14
e 346 1326 36
e 102 851 9
e 1395 1062 83
e 115 584 69
e 618 189 31
e 150 202 63
e 791 263 43
e 698 711 26
e 1452 577 47
e 685 819 80
e 1293 1100 19
e 112 1000 61
e 1043 935 59
e 1331 61 93
e 1304 569 91
e 959 97 8
e 879 653 24
e 910 28 60
e 1060 33 64
e 1058 514 24
e 471 929 70
e 1187 104 45
e 583 260 37
e 581 126 34
e 335 890 86
e 1132 1412 77
e 1415 1348 47
e 1276 709 76
e 207 1410 6
e 634 846 94
e 930 16 16
e 947 524 78
e 634 179 36
e 1274 127 92
e 8 1273 22
e 532 762 80
e 219 797 43
e 133 377 68
e 1485 537 94
e 133 355 30
e 566 1024 48
e 1421 1195 32
e 142 1344 75
e 1213 93 71
e 1430 182 68
e 350 857 13
e 432 1411 49
e 329 1487 14
e 10 298 34
e 246 131 60
e 1320 973 60
e 1334 191 12
e 338 171 97
e 1449 480 16
e 1040 755 32
e 1184 1133 86
e 628 609 100
e 136 645 84
e 1035 1258 95
e 1412 197 95
e 1424 219 32
e 929 264 17
e 1271 620 98
e 794 1315 64
e 1341 146 4
e 763 1028 82
e 760 151 85
e 847 1380 14
e 56 612 88
e 564 483 3
e 382 1077 86
e 1357 70 54
e 176 1129 44
e 1158 994 65
e 184 275 18
e 293 136 60
e 1409 64 25
e 349 1338 8
e 729 1457 61
e 963 387 75
e 1182 975 5
e 1228 127 40
e 520 1285 60
e 474 1043 100
e 208 777 57
e 104 921 27
e 613 100 42
e 1130 1145 31
e 866 1272 13
e 1426 1494 16
e 1167 1373 46
e 1415 809 68
e 961 1456 10
e 733 963 92
e 1486 842 79
e 444 950 8
e 590 1242 41
e 888 430 64
e 708 918 10
e 81 1202 74
e 552 1059 11
e 230 886 43
e 1197 284 80
e 88 1080 30
e 961 1438 11
e 3 1322 92
e 988 108 86
e 675 534 6
e 973 866 94
e 838 44 7
e 258 765 37
e 264 54 20
e 1250 1413 26
e 719 757 32
e 245 909 72
e 1431 446 25
e 1050 161 54
e 782 90 73
e 843 124 26
e 245 744 77
e 1392 1168 35
e 17 1355 98
e 232 568 83
e 19 958 33
e 711 1002 62
e 624 721 74
e 897 1388 70
e 1345 503 68
e 1426 942 88
e 385 190 8
e 1461 1395 97
e 1025 403 16
e 1416 680 86
e 263 20 34
e 467 480 94
e 1043 1374 93
e 609 189 97
e 1167 894 83
e 894 981 29
e 355 659 95
e 766 1263 2
e 683 467 79
e 1007 1293 15
e 866 724 95
e 189 879 49
e 1036 1494 17
e 404 1034 11
e 1384 124 96
e 558 1483 73
e 271 740 63
e 1393 611 95
e 603 462 82
e 932 40 43
e 613 713 34
e 538 1237 50
e 146 144 49
e 1281 631 98
e 295 959 54
e 471 1120 81
e 323 692 30
e 813 214 84
e 258 1219 77
e 1278 816 17
e 742 105 30
e 642 350 33
e 748 104 98
e 1117 383 8
e 1197 741 3
e 576 1314 79
e 755 744 39
e 1462 450 31
e 581 934 24
e 1462 455 46
e 389 1447 3
e 1345 1369 18
e 899 983 96
e 965 1133 71
e 1303 918 47
e 136 1057 55
e 1177 1075 28
e 146 1105 9
e 1152 387 6
e 876 577 19
e 361 1419 89
e 1413 519 62
e 1318 1390 60
e 201 74 19
e 1047 797 22
e 1473 325 22
e 332 786 86
e 554 762 39
e 514 1322 34
e 1092 781 49
e 676 903 63
e 324 120 38
e 736 1398 88
e 1031 1067 8
e 1496 642 55
e 1289 114 31
e 76 338 82
e 374 10 91
e 500 1225 83
e 4 1100 7
e 286 474 54
e 1119 19 18
e 846 548 75
e 364 844 32
e 1029 1050 14
e 246 184 19
e 1299 289 32
e 84 396 17
e 1169 233 58
e 340 1107 57
e 133 578 29
e 553 1113 69
